2026-06-23 11:34:23.204 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 11:34:23.216 | INFO     | app.core.database:get_db:20 - 数据库连接已建立
2026-06-23 11:34:23.216 | INFO     | app.core.database:init_db:106 - 数据库表初始化完成
2026-06-23 11:34:23.216 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 11:34:28.054 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 11:37:15.829 | INFO     | app.service.chat_service:get_or_create_session:43 - 创建新会话: e24f53b8d45d430aa939e6180a60ffc4
2026-06-23 11:37:30.845 | INFO     | app.service.chat_service:get_or_create_session:43 - 创建新会话: c8917ef7463c4071bbc64a5803943e93
2026-06-23 13:53:59.726 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 13:53:59.730 | INFO     | app.core.database:get_db:20 - 数据库连接已建立
2026-06-23 13:53:59.730 | INFO     | app.core.database:init_db:106 - 数据库表初始化完成
2026-06-23 13:53:59.730 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 13:54:35.731 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 13:56:52.817 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 13:56:52.821 | INFO     | app.core.database:get_db:20 - 数据库连接已建立
2026-06-23 13:56:52.821 | INFO     | app.core.database:init_db:106 - 数据库表初始化完成
2026-06-23 13:56:52.822 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 13:57:22.763 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 14:04:40.913 | ERROR    | app.search.tavily_search:tavily_search:27 - Tavily 搜索失败: 401
2026-06-23 14:04:47.125 | ERROR    | app.search.bing_search:bing_search:22 - Bing 搜索失败: 401
2026-06-23 14:22:34.478 | INFO     | app.service.chat_service:get_or_create_session:43 - 创建新会话: 5b4f874446a94c51baf25a61922e517d
2026-06-23 14:25:04.214 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 14:25:04.221 | INFO     | app.core.database:get_db:20 - 数据库连接已建立
2026-06-23 14:25:04.227 | INFO     | app.core.database:init_db:106 - 数据库表初始化完成
2026-06-23 14:25:04.228 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 14:25:09.129 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 14:29:13.032 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 14:29:13.038 | INFO     | app.core.database:get_db:20 - 数据库连接已建立
2026-06-23 14:29:13.046 | INFO     | app.core.database:init_db:106 - 数据库表初始化完成
2026-06-23 14:29:13.046 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 14:29:45.424 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 14:31:43.496 | INFO     | app.service.chat_service:get_or_create_session:43 - 创建新会话: 35c7216dedb44805952396013cb8d7a4
2026-06-23 14:35:42.341 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 14:35:42.344 | INFO     | app.core.database:get_db:20 - 数据库连接已建立
2026-06-23 14:35:42.345 | INFO     | app.core.database:init_db:111 - 数据库表初始化完成
2026-06-23 14:35:42.345 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 14:35:46.384 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 14:38:54.247 | INFO     | app.service.chat_service:get_or_create_session:43 - 创建新会话: db379e9f36b54eb1ad519d1c8104928a
2026-06-23 14:39:59.818 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 14:39:59.822 | INFO     | app.core.database:get_db:20 - 数据库连接已建立
2026-06-23 14:39:59.823 | INFO     | app.core.database:init_db:111 - 数据库表初始化完成
2026-06-23 14:39:59.823 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 14:41:28.534 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 14:42:37.411 | INFO     | app.service.chat_service:get_or_create_session:43 - 创建新会话: 306915a5923e46b4b59c1ee0b743c834
2026-06-23 14:45:03.814 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 14:45:03.818 | INFO     | app.core.database:get_db:20 - 数据库连接已建立
2026-06-23 14:45:03.819 | INFO     | app.core.database:init_db:138 - 数据库表初始化完成
2026-06-23 14:45:03.819 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 14:45:09.202 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 14:47:28.866 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 14:47:28.870 | INFO     | app.core.database:get_db:20 - 数据库连接已建立
2026-06-23 14:47:28.875 | INFO     | app.core.database:init_db:138 - 数据库表初始化完成
2026-06-23 14:47:28.875 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 14:48:43.321 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 14:53:27.478 | INFO     | app.service.chat_service:get_or_create_session:43 - 创建新会话: 1d391c8cb19141168b31dd7c794711a7
2026-06-23 14:56:47.956 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 14:56:47.960 | INFO     | app.core.database:get_db:21 - 数据库连接已建立: C:\Users\Administrator\OneDrive\Desktop\双体系统\data\sqlite\shuangti.db
2026-06-23 14:56:47.961 | INFO     | app.core.database:init_db:139 - 数据库表初始化完成
2026-06-23 14:56:47.961 | INFO     | app.main:lifespan:34 - 数据库初始化完成
2026-06-23 14:56:51.832 | INFO     | app.rag.store:get_chroma_client:14 - ChromaDB 已初始化: data/chroma
2026-06-23 14:58:52.854 | INFO     | app.service.chat_service:get_or_create_session:43 - 创建新会话: d6844d2f924844f1a3b7142e31e1771e
2026-06-23 15:02:35.881 | INFO     | app.main:lifespan:32 - 正在启动双体智能体系统...
2026-06-23 15:02:35.886 | INFO     | app.core.database:get_db:21 - 数据库连接已建立: C:\Users\Administrator\OneDrive\Desktop\双体系统\data\sqlite\shuangti.db
